relation_id,text_id,sentence_id,head_id,head_name,head_type,relation,tail_id,tail_name,tail_type,trigger,method,source_event_id,evidence
REL001,text_01_biography,1,E001,Alan Turing,Person,studied_at,E008,University of Cambridge,Organization,就读,event_rule,EVT001,Alan Turing（阿兰·图灵）曾就读于剑桥大学，后来前往 Princeton University 攻读博士学位。
REL002,text_01_biography,1,E001,Alan Turing,Person,studied_at,E007,Princeton University,Organization,就读,event_rule,EVT001,Alan Turing（阿兰·图灵）曾就读于剑桥大学，后来前往 Princeton University 攻读博士学位。
REL003,text_01_biography,2,E001,Alan Turing,Person,published,E019,Computable Numbers,Work,发表,event_rule,EVT002,Alan Turing 在 1936 年发表了《Computable Numbers》，并提出了 Turing Machine 的经典思想。
REL004,text_01_biography,2,E001,Alan Turing,Person,proposed,E017,Turing Machine,Concept,提出,event_rule,EVT003,Alan Turing 在 1936 年发表了《Computable Numbers》，并提出了 Turing Machine 的经典思想。
REL005,text_02_war,1,E001,Alan Turing,Person,worked_at,E010,Bletchley Park,Place,破译,event_rule,EVT004,第二次世界大战期间，图灵在 Bletchley Park 参与破译 Enigma machine。
REL006,text_02_war,1,E001,Alan Turing,Person,used,E015,Enigma,Device,破译,event_rule,EVT004,第二次世界大战期间，图灵在 Bletchley Park 参与破译 Enigma machine。
REL007,text_02_war,1,E001,Alan Turing,Person,participated_in,E021,Second World War,Event,破译,event_rule,EVT004,第二次世界大战期间，图灵在 Bletchley Park 参与破译 Enigma machine。
REL008,text_03_cambridge_manchester,1,E001,Alan Turing,Person,studied_at,E008,University of Cambridge,Organization,学习,event_rule,EVT005,图灵早年在 University of Cambridge 学习数学，Cambridge 这座城市则是他的求学背景。
REL009,text_04_test_and_machine,1,E001,Alan Turing,Person,influenced_by,E002,Alonzo Church,Person,影响,event_rule,EVT006,Alonzo Church 对 Alan Turing 的研究有重要影响。
REL010,text_04_test_and_machine,2,E001,Alan Turing,Person,proposed,E018,Turing Test,Concept,提出,event_rule,EVT007,1950 年，Alan Turing 提出图灵测试（Turing Test），用来讨论机器是否能够表现出智能。
REL011,text_06_early_education,1,E001,Alan Turing,Person,studied_at,E028,Sherborne School,Organization,接受中学教育,event_rule,EVT008,图灵在 Sherborne School 接受中学教育，青年时期的朋友 Christopher Morcom 对他的科学兴趣影响很大。
