head,relation,tail,evidence
Alan Turing,studied_at,University of Cambridge,Alan Turing（阿兰·图灵）曾就读于剑桥大学，后来前往 Princeton University 攻读博士学位。
Alan Turing,studied_at,Princeton University,Alan Turing（阿兰·图灵）曾就读于剑桥大学，后来前往 Princeton University 攻读博士学位。
Alan Turing,published,Computable Numbers,Alan Turing 在 1936 年发表了《Computable Numbers》，并提出了 Turing Machine 的经典思想。
Alan Turing,proposed,Turing Machine,Alan Turing 在 1936 年发表了《Computable Numbers》，并提出了 Turing Machine 的经典思想。
Alan Turing,worked_at,Bletchley Park,第二次世界大战期间，图灵在 Bletchley Park 参与破译 Enigma machine。
Alan Turing,used,Enigma,第二次世界大战期间，图灵在 Bletchley Park 参与破译 Enigma machine。
Alan Turing,participated_in,Second World War,第二次世界大战期间，图灵在 Bletchley Park 参与破译 Enigma machine。
Alan Turing,studied_at,University of Cambridge,图灵早年在 University of Cambridge 学习数学，Cambridge 这座城市则是他的求学背景。
Alan Turing,influenced_by,Alonzo Church,Alonzo Church 对 Alan Turing 的研究有重要影响。
Alan Turing,proposed,Turing Test,1950 年，Alan Turing 提出图灵测试（Turing Test），用来讨论机器是否能够表现出智能。
Alan Turing,studied_at,Sherborne School,图灵在 Sherborne School 接受中学教育，青年时期的朋友 Christopher Morcom 对他的科学兴趣影响很大。
Alan Turing,influenced_by,Christopher Morcom,图灵在 Sherborne School 接受中学教育，青年时期的朋友 Christopher Morcom 对他的科学兴趣影响很大。
Alan Turing,studied_at,"King's College, Cambridge","1931 年，Alan Turing 进入 King's College, Cambridge 学习数学，并逐渐把兴趣转向逻辑与计算问题。"
Alan Turing,studied_at,Princeton University,1936 年，Alan Turing 前往 Princeton University 深造，并在 Alonzo Church 指导下继续研究可计算性问题。
Alan Turing,influenced_by,John von Neumann,在 Princeton University 的学术环境里，John von Neumann 的研究也影响了 Alan Turing 对实际机器设计的理解。
Alonzo Church,worked_at,Princeton University,Alonzo Church 当时也在 Princeton University 工作，并持续指导 Alan Turing 研究可计算性问题。
Alan Turing,worked_at,Government Code and Cypher School,战争期间，Alan Turing 在 Government Code and Cypher School 的安排下到 Bletchley Park 工作，并参与分析 Enigma。
Alan Turing,worked_at,Bletchley Park,战争期间，Alan Turing 在 Government Code and Cypher School 的安排下到 Bletchley Park 工作，并参与分析 Enigma。
Alan Turing,used,Enigma,战争期间，Alan Turing 在 Government Code and Cypher School 的安排下到 Bletchley Park 工作，并参与分析 Enigma。
Joan Clarke,worked_at,Bletchley Park,Joan Clarke 在 Bletchley Park 工作，并参与分析 Enigma。
Joan Clarke,used,Enigma,Joan Clarke 在 Bletchley Park 工作，并参与分析 Enigma。
Alan Turing,proposed,Automatic Computing Engine,战后，图灵加入 National Physical Laboratory，提出了 Automatic Computing Engine 的设计方案。
Alan Turing,worked_at,National Physical Laboratory,战后，图灵加入 National Physical Laboratory，提出了 Automatic Computing Engine 的设计方案。
Alan Turing,worked_at,University of Manchester,1948 年后，图灵受 Max Newman 邀请到 University of Manchester 工作，并参与 Manchester Mark I 相关研究。
Max Newman,worked_at,University of Manchester,Max Newman 也在 University of Manchester 工作，并支持早期计算机研究。
Alan Turing,proposed,Turing Test,1950 年，图灵提出图灵测试，继续讨论机器智能问题。
Alan Turing,worked_at,University of Manchester,图灵晚年生活在 Wilmslow，但仍在 University of Manchester 工作，并继续研究形态发生等问题。
Alan Turing,worked_at,Bletchley Park,1940 年前后，Alan Turing 在 Bletchley Park 使用 Bombe 辅助破解 Enigma 密码。
Alan Turing,used,Bombe,1940 年前后，Alan Turing 在 Bletchley Park 使用 Bombe 辅助破解 Enigma 密码。
Joan Clarke,worked_at,Bletchley Park,Joan Clarke 在 Bletchley Park 参与 Enigma 密码分析，并和 Alan Turing 一起检查 Bombe 的结果。
Joan Clarke,used,Enigma,Joan Clarke 在 Bletchley Park 参与 Enigma 密码分析，并和 Alan Turing 一起检查 Bombe 的结果。
Alan Turing,worked_at,Bletchley Park,Second World War 期间，Bletchley Park 的密码工作把 Alan Turing、Joan Clarke 和 Bombe 联系在一起。
Alan Turing,used,Bombe,Second World War 期间，Bletchley Park 的密码工作把 Alan Turing、Joan Clarke 和 Bombe 联系在一起。
Alan Turing,participated_in,Second World War,Second World War 期间，Bletchley Park 的密码工作把 Alan Turing、Joan Clarke 和 Bombe 联系在一起。
Alan Turing,proposed,Manchester Mark I,1948 年后，Alan Turing 在 University of Manchester 工作，并设计 Manchester Mark I 的程序检查方法。
Alan Turing,worked_at,University of Manchester,1948 年后，Alan Turing 在 University of Manchester 工作，并设计 Manchester Mark I 的程序检查方法。
Max Newman,worked_at,University of Manchester,Max Newman 在 University of Manchester 工作，并支持 Manchester Mark I 的早期计算机研究。
Alan Turing,influenced_by,Alonzo Church,Alonzo Church 在 Princeton University 研究 lambda calculus，并影响 Alan Turing 的逻辑研究。
John von Neumann,worked_at,Princeton University,John von Neumann 也在 Princeton University 工作，他关注早期计算机体系结构问题。
Alan Turing,studied_at,Princeton University,Alan Turing 在 Princeton University 攻读博士学位时继续思考 Entscheidungsproblem。
Alan Turing,studied_at,Princeton University,Alan Turing 在 Princeton 攻读博士学位时，经常参加 Alonzo Church 的逻辑讨论。
University of Manchester,located_in,Manchester,University of Manchester 位于 Manchester。
National Physical Laboratory,located_in,London,National Physical Laboratory 位于 London。
Government Code and Cypher School,located_in,Bletchley Park,Government Code and Cypher School 位于 Bletchley Park。
University of Manchester,located_in,Manchester,University of Manchester 位于 Manchester。
